ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
1,1,108,18.200000762939453,13.5,9.670000076293945,12,-89.847949,31.53159
2,1,258,14.899999618530273,13.600000381469727,28.610000610351562,10.300000190734863,-85.269268,34.465214
3,1,NA,NA,NA,NA,NA,-97.919861,30.500461
4,1,NA,NA,NA,NA,NA,-80.804394,32.554309
5,1,89,17.600000381469727,13,6.519999980926514,12.3100004196167,-92.626197,32.548838
6,1,53,20,11.800000190734863,1.3899999856948853,13.5600004196167,-95.771157,29.990217
7,1,97,17.399999618530273,13.399999618530273,7.71999979019165,12.149999618530273,-88.623711,32.542857
8,1,NA,NA,NA,NA,NA,-86.500603,15.530222
9,1,63,19.100000381469727,13.300000190734863,5.420000076293945,12.710000038146973,-85.429905,30.569208
10,1,NA,NA,NA,NA,NA,-94.513474,37.055481
11,0,120,18.799999237060547,13,6.690000057220459,12.359999656677246,-95.95833333333333,32.041666666666664
12,0,10,19.899999618530273,11.5,1.6399999856948853,13.140000343322754,-90.95833333333333,29.95833333333333
13,0,30,25.799999237060547,13.300000190734863,1.3700000047683716,13.4399995803833,-88.54166666666666,20.791666666666664
14,0,130,19.899999618530273,12.5,4.909999847412109,12.829999923706055,-96.87499999999999,30.124999999999996
15,0,50,19.100000381469727,12,7.170000076293945,12.100000381469727,-87.375,30.791666666666664
16,0,53,19.399999618530273,13.199999809265137,8.5,12.25,-84.29166666666666,30.541666666666664
17,0,172,16.200000762939453,13.300000190734863,9.649999618530273,11.850000381469727,-95.20833333333333,35.291666666666664
18,0,80,16.5,13.5,7.519999980926514,12.40999984741211,-93.20833333333333,34.041666666666664
19,0,64,20,13,3.930000066757202,12.9399995803833,-96.54166666666666,29.70833333333333
20,0,76,18,13.800000190734863,4.78000020980835,12.470000267028809,-88.95833333333333,31.45833333333333
